viewCount,likeCount,dislikeCount,commentCount,subscriberCount,channelVideoCount,channelViewCount,PrevCommentCount,PrevDislikeCount,PrevLikeCount,PrevViewCount,Days,Hours_published,Age_Channel
2797966,94000,3297,9677,1.40E+07,1348,2504291435,8152,3045,97322,4457597,9,216,11
4457597,97322,3045,8152,1.40E+07,1348,2504291435,11765,3760,115373,4670104,5,120,11
4670104,115373,3760,11765,1.40E+07,1348,2504291435,33524,9738,252088,9101867,3,72,11
701459,37337,880,2495,1.40E+07,1348,2504291435,12741,7355,210296,7507596,4,96,11
3965854,103925,3069,8753,1.40E+07,1348,2504291435,9063,6185,144653,7378536,6,144,11
3716338,73086,3281,15938,1.40E+07,1348,2504291435,5467,3414,112533,4181250,1,24,11
4181250,112533,3414,5467,1.40E+07,1348,2504291435,5537,2689,77893,3312800,5,120,11
3312800,77893,2689,5537,1.40E+07,1348,2504291435,4360,2042,81997,3026493,9,216,11
3026493,81997,2042,4360,1.40E+07,1348,2504291435,6587,3187,127048,4987443,4,96,11
4987443,127048,3187,6587,1.40E+07,1348,2504291435,5162,1829,90757,3643119,1,24,11
3643119,90757,1829,5162,1.40E+07,1348,2504291435,4169,1416,63073,2399718,6,144,11
2399718,63073,1416,4169,1.40E+07,1348,2504291435,10814,3934,101916,2704316,3,72,11
2704316,101916,3934,10814,1.40E+07,1348,2504291435,1959,1076,63873,1967701,6,144,11
1967701,63873,1076,1959,1.40E+07,1348,2504291435,8597,2435,153643,5173420,4,96,11
5173420,153643,2435,8597,1.40E+07,1348,2504291435,10203,3387,148546,5311337,2,48,11
5311337,148546,3387,10203,1.40E+07,1348,2504291435,16234,5144,115437,4242755,2,48,11
4242755,115437,5144,16234,1.40E+07,1348,2504291435,16147,5965,176993,7391847,4,96,11
2816865,74689,1703,5996,1.40E+07,1348,2504291435,5918,1645,84675,3478678,5,120,11
3478678,84675,1645,5918,1.40E+07,1348,2504291435,37104,8084,199649,7381382,2,48,11
4571017,107201,3179,6198,1.40E+07,1348,2504291435,6719,4286,158032,5799290,3,72,11
5799290,158032,4286,6719,1.40E+07,1348,2504291435,17800,5216,203994,8507406,3,72,11
2311739,71377,1375,8043,1.40E+07,1348,2504291435,2432,1568,48919,1533452,7,168,11
1533452,48919,1568,2432,1.40E+07,1348,2504291435,9049,3256,96314,3746386,5,120,11
3746386,96314,3256,9049,1.40E+07,1348,2504291435,6192,2446,77759,3651683,2,48,11
3651683,77759,2446,6192,1.40E+07,1348,2504291435,13579,10158,174214,24982086,5,120,11
5200882,120545,3417,12406,1.40E+07,1348,2504291435,5458,1239,92502,2744216,3,72,11
2744216,92502,1239,5458,1.40E+07,1348,2504291435,8593,4982,58421,2003445,3,72,11
2003445,58421,4982,8593,1.40E+07,1348,2504291435,19718,12958,157982,3960579,8,192,11
3960579,157982,12958,19718,1.40E+07,1348,2504291435,8094,2207,107207,3327264,2,48,11
3327264,107207,2207,8094,1.40E+07,1348,2504291435,5000,1353,64164,2052267,4,96,11
2052267,64164,1353,5000,1.40E+07,1348,2504291435,10915,5448,142470,6258126,0,0,11
6258126,142470,5448,10915,1.40E+07,1348,2504291435,9677,1522,80505,2720628,8,192,11
2720628,80505,1522,9677,1.40E+07,1348,2504291435,6077,3067,116810,4421221,3,72,11
4421221,116810,3067,6077,1.40E+07,1348,2504291435,12105,2203,132480,5823982,3,72,11
5823982,132480,2203,12105,1.40E+07,1348,2504291435,13849,3136,156230,5813473,5,120,11
5813473,156230,3136,13849,1.40E+07,1348,2504291435,6441,1455,62586,2155445,6,144,11
2155445,62586,1455,6441,1.40E+07,1348,2504291435,9932,2341,125319,4508430,3,72,11
4508430,125319,2341,9932,1.40E+07,1348,2504291435,9520,2288,77674,3382245,2,48,11
3382245,77674,2288,9520,1.40E+07,1348,2504291435,25651,7032,227643,10501746,4,96,11
3388480,82608,1264,8449,1.40E+07,1348,2504291435,5487,2207,82458,2455280,4,96,11
2455280,82458,2207,5487,1.40E+07,1348,2504291435,12229,3253,188531,3663505,2,48,11
3663505,188531,3253,12229,1.40E+07,1348,2504291435,18831,5566,295084,5658550,2,48,11
5658550,295084,5566,18831,1.40E+07,1348,2504291435,5191,2612,77499,3519250,5,120,11
3519250,77499,2612,5191,1.40E+07,1348,2504291435,11572,6128,103266,5553433,3,72,11
5553433,103266,6128,11572,1.40E+07,1348,2504291435,6754,1183,90059,3288447,3,72,11
3288447,90059,1183,6754,1.40E+07,1348,2504291435,5133,1519,54117,1535621,4,96,11
1535621,54117,1519,5133,1.40E+07,1348,2504291435,9866,2562,211607,5262488,2,48,11
5262488,211607,2562,9866,1.40E+07,1348,2504291435,12521,2911,93819,3658745,10,240,11
3658745,93819,2911,12521,1.40E+07,1348,2504291435,10264,3550,140953,4505215,5,120,11
4505215,140953,3550,10264,1.40E+07,1348,2504291435,3725,1040,75829,2388222,2,48,11
2388222,75829,1040,3725,1.40E+07,1348,2504291435,2872,868,47008,927620,2,48,11
927620,47008,868,2872,1.40E+07,1348,2504291435,6533,1801,74952,2295604,4,96,11
2295604,74952,1801,6533,1.40E+07,1348,2504291435,9896,6298,101142,3557888,2,48,11
3557888,101142,6298,9896,1.40E+07,1348,2504291435,8891,2026,99256,1467327,9,216,11
1467327,99256,2026,8891,1.40E+07,1348,2504291435,10336,3010,104949,3954666,1,24,10
3954666,104949,3010,10336,1.40E+07,1348,2504291435,23466,6807,198430,6065038,3,72,10
6065038,198430,6807,23466,1.40E+07,1348,2504291435,7310,2136,67626,2532172,4,96,10
2532172,67626,2136,7310,1.40E+07,1348,2504291435,36215,25159,372529,7671405,3,72,10
1709068,68069,1190,4165,1.40E+07,1348,2504291435,18312,3299,127472,2959774,7,168,10
2959774,127472,3299,18312,1.40E+07,1348,2504291435,10297,4017,104394,3267941,4,96,10
3267941,104394,4017,10297,1.40E+07,1348,2504291435,5833,1765,64470,2758399,1,24,10
2758399,64470,1765,5833,1.40E+07,1348,2504291435,7502,2134,96988,3749561,8,192,10
3749561,96988,2134,7502,1.40E+07,1348,2504291435,9604,2710,86908,2676004,2,48,10
2676004,86908,2710,9604,1.40E+07,1348,2504291435,10157,2735,116494,5313364,4,96,10
5313364,116494,2735,10157,1.40E+07,1348,2504291435,16135,5408,148116,7126267,3,72,10
3013310,93612,3663,10059,1.40E+07,1348,2504291435,8179,2798,83787,3688950,6,144,10
3688950,83787,2798,8179,1.40E+07,1348,2504291435,12738,3415,112932,4857795,3,72,10
4857795,112932,3415,12738,1.40E+07,1348,2504291435,16169,3831,142969,7307106,1,24,10
1547891,50739,1287,5091,1.40E+07,1348,2504291435,343322,1478,136803,2352819,2,48,10
2352819,136803,1478,343322,1.40E+07,1348,2504291435,13976,2432,96288,3772912,4,96,10
3772912,96288,2432,13976,1.40E+07,1348,2504291435,9368,8578,66987,2656159,3,72,10
2656159,66987,8578,9368,1.40E+07,1348,2504291435,5160,1314,67237,2355133,5,120,10
2355133,67237,1314,5160,1.40E+07,1348,2504291435,7000,1918,60375,2000895,0,0,10
2000895,60375,1918,7000,1.40E+07,1348,2504291435,19074,3880,118873,5107871,2,48,10
5107871,118873,3880,19074,1.40E+07,1348,2504291435,5516,1203,52274,1838457,6,144,10
1838457,52274,1203,5516,1.40E+07,1348,2504291435,10701,7294,88159,2714531,2,48,10
2714531,88159,7294,10701,1.40E+07,1348,2504291435,6502,1811,55178,1641376,5,120,10
1641376,55178,1811,6502,1.40E+07,1348,2504291435,7816,3115,97590,5172597,5,120,10
5172597,97590,3115,7816,1.40E+07,1348,2504291435,7952,3686,93795,4706343,3,72,10
4706343,93795,3686,7952,1.40E+07,1348,2504291435,13061,5179,131686,6674797,0,0,10
6674797,131686,5179,13061,1.40E+07,1348,2504291435,13309,3855,82991,4414886,5,120,10
4414886,82991,3855,13309,1.40E+07,1348,2504291435,10177,2905,75765,3140122,0,0,10
3140122,75765,2905,10177,1.40E+07,1348,2504291435,12552,4080,130401,5545435,3,72,10
5545435,130401,4080,12552,1.40E+07,1348,2504291435,5976,2353,74073,2595519,4,96,10
2595519,74073,2353,5976,1.40E+07,1348,2504291435,5438,2931,64734,2680911,6,144,10
2680911,64734,2931,5438,1.40E+07,1348,2504291435,4177,2828,99823,3807276,4,96,10
3807276,99823,2828,4177,1.40E+07,1348,2504291435,3316,2354,57232,2013242,3,72,10
2013242,57232,2354,3316,1.40E+07,1348,2504291435,12191,2730,106029,5057792,1,24,10
5057792,106029,2730,12191,1.40E+07,1348,2504291435,18704,6196,354770,12125427,3,72,10
3549578,110043,3232,15969,1.40E+07,1348,2504291435,8109,3591,72468,3796107,2,48,10
3796107,72468,3591,8109,1.40E+07,1348,2504291435,5504,2522,56602,2359337,4,96,10
2359337,56602,2522,5504,1.40E+07,1348,2504291435,15903,5476,111201,4425270,2,48,10
4425270,111201,5476,15903,1.40E+07,1348,2504291435,9898,2391,98142,3783794,7,168,10
3783794,98142,2391,9898,1.40E+07,1348,2504291435,7550,3976,72656,3035855,4,96,10
3035855,72656,3976,7550,1.40E+07,1348,2504291435,5664,2271,44532,1282985,5,120,10
1282985,44532,2271,5664,1.40E+07,1348,2504291435,9178,1970,59362,1966121,3,72,10
1966121,59362,1970,9178,1.40E+07,1348,2504291435,4225,1764,68584,2085987,8,192,10
2085987,68584,1764,4225,1.40E+07,1348,2504291435,4256,2535,79395,1406481,6,144,10
1406481,79395,2535,4256,1.40E+07,1348,2504291435,6677,2032,87224,2917413,2,48,10
2917413,87224,2032,6677,1.40E+07,1348,2504291435,3315,620,32635,834000,2,48,10
834000,32635,620,3315,1.40E+07,1348,2504291435,7058,3614,89858,6148006,3,72,10
6148006,89858,3614,7058,1.40E+07,1348,2504291435,4100,1538,54195,1150670,1,24,10
1150670,54195,1538,4100,1.40E+07,1348,2504291435,6369,1317,71686,1922387,2,48,10
1922387,71686,1317,6369,1.40E+07,1348,2504291435,6592,1462,62494,2671861,4,96,10
2671861,62494,1462,6592,1.40E+07,1348,2504291435,4335,1371,45717,1696769,3,72,10
1696769,45717,1371,4335,1.40E+07,1348,2504291435,4134,2174,75953,3758176,5,120,10
3758176,75953,2174,4134,1.40E+07,1348,2504291435,3919,1164,59537,1254228,2,48,10
1254228,59537,1164,3919,1.40E+07,1348,2504291435,4902,4705,79913,2359987,3,72,10
2359987,79913,4705,4902,1.40E+07,1348,2504291435,9525,3959,109232,21703703,8,192,10
2157266,63119,1424,25018,1.40E+07,1348,2504291435,7168,2024,82586,3159129,5,120,10
3159129,82586,2024,7168,1.40E+07,1348,2504291435,4972,2447,62829,2014830,1,24,10
2014830,62829,2447,4972,1.40E+07,1348,2504291435,4332,1648,65038,1962859,4,96,10
1962859,65038,1648,4332,1.40E+07,1348,2504291435,14098,1810,107431,2731117,1,24,10
2731117,107431,1810,14098,1.40E+07,1348,2504291435,2362,727,47991,1487162,3,72,10
1487162,47991,727,2362,1.40E+07,1348,2504291435,6746,1610,57573,2652968,5,120,10
